world,n_train,flow_jump_mean_mae,gru_mean_mae,representation_linear_mean_mae,flow_jump_vs_gru_seed_wins,flow_jump_vs_rep_seed_wins,flow_jump_simultaneous_seed_wins,n_seed_bundles,mean_delta_vs_gru,mean_delta_vs_representation_linear,flow_jump_beats_gru_on_mean,flow_jump_beats_rep_on_mean,flow_jump_beats_both_on_mean
informative_observation,5,0.6902120232582092,0.5729923903942108,0.7015783296319974,0,2,0,5,-0.11721963286399842,0.011366306373788127,False,True,False
informative_observation,10,0.6910734891891479,0.5447296857833862,0.7315304721533924,0,3,0,5,-0.14634380340576172,0.04045698296424447,False,True,False
informative_observation,20,0.6061246275901795,0.5432728409767151,0.6456389794788291,1,3,1,5,-0.06285178661346436,0.03951435188864967,False,True,False
informative_observation,40,0.6346322655677795,0.5840277373790741,0.629479741994403,1,2,1,5,-0.050604528188705436,-0.005152523573376489,False,False,False
jumps,5,1.181872797012329,1.035741639137268,1.1538910904593889,1,2,1,5,-0.1461311578750611,-0.02798170655294019,False,False,False
jumps,10,1.0791406154632568,0.989876127243042,1.1219235312549842,2,4,2,5,-0.08926448822021482,0.04278291579172753,False,True,False
jumps,20,1.1309436082839965,1.0187537908554076,1.1105578989867084,1,2,1,5,-0.11218981742858888,-0.020385709297288158,False,False,False
jumps,40,1.1049762964248657,1.0254778742790223,1.0885851016329582,2,3,1,5,-0.07949842214584353,-0.016391194791907517,False,False,False
misspecified,5,1.8273665189743042,1.6629499912261962,1.5542355470126108,0,0,0,5,-0.16441652774810794,-0.2731309719616935,False,False,False
misspecified,10,1.866967248916626,1.663962435722351,1.577008495586362,1,1,0,5,-0.2030048131942749,-0.28995875333026416,False,False,False
misspecified,20,1.6023372888565064,1.617629885673523,1.4805645757791182,2,2,1,5,0.015292596817016424,-0.12177271307738832,True,False,False
misspecified,40,1.6755884408950805,1.6167718410491942,1.5151835879603568,3,2,2,5,-0.05881659984588614,-0.16040485293472373,False,False,False
site_shift,5,0.6767417669296265,0.609049117565155,0.7493767567385841,1,4,1,5,-0.06769264936447143,0.07263498980895758,False,True,False
site_shift,10,0.6888314604759216,0.5680090129375458,0.8008754801632909,0,4,0,5,-0.12082244753837586,0.11204401968736935,False,True,False
site_shift,20,0.6124495506286621,0.5656221628189086,0.6853208466863656,2,4,2,5,-0.046827387809753415,0.07287129605770357,False,True,False
site_shift,40,0.5984388172626496,0.5716490626335144,0.6675582338098209,1,3,1,5,-0.02678975462913512,0.06911941654717137,False,True,False
smooth,5,0.36677074432373047,0.349574613571167,0.4450219167334758,0,5,0,5,-0.017196130752563488,0.07825117240974541,False,True,False
smooth,10,0.33805795907974245,0.30822951793670655,0.3665753646562615,1,5,1,5,-0.0298284411430359,0.028517405576519095,False,True,False
smooth,20,0.3316520988941193,0.29466835856437684,0.35480258990707103,0,4,0,5,-0.03698374032974242,0.0231504910129518,False,True,False
smooth,40,0.3206303477287292,0.2707535445690155,0.34286773488916233,0,5,0,5,-0.04987680315971377,0.022237387160433053,False,True,False
